Num. Data,Num. Parameters (Num Features),repeat_idx,Train MSE,Test MSE
15,8,24,0.11219889764854714,0.94077778623231
15,8,25,0.15883930812139488,1.2463165152763578
15,8,26,0.401290493821871,131.64115437697444
15,8,27,0.270513955794179,3.7627365230150684
15,8,28,0.4238304115581117,2.1427196214992144
15,8,29,0.08769405634492417,1.4383805844462731
15,9,0,0.11467945686296992,23.08892073361349
15,9,1,0.15502183156271368,3.5302795540288945
15,9,2,0.16211578019852593,3.2923459541991926
15,9,3,0.19300097907147923,8.008834553801927
15,9,4,0.052817223010154284,2.8068175667509356
15,9,5,0.08779444503562824,3.3883190175607627
15,9,6,0.19003263475491333,0.9758674998601937
15,9,7,0.05972536839959862,4725.303083184118
15,9,8,0.13622760138918624,706.4920878644205
15,9,9,0.1944330418216617,0.935114714452054
15,9,10,0.018079226452805224,996.202256425052
15,9,11,0.07231075021471713,31036.09931229594
15,9,12,0.0914493822301577,5.549573615944407
15,9,13,0.06077625505129048,1.712984492583108
15,9,14,0.13175230448628814,4.3422014850416595
15,9,15,0.06674464368027752,5.351826332760451
15,9,16,0.3145473537552582,6.326257241768825
15,9,17,0.12469960642829482,0.8500321503121165
15,9,18,0.03429480859170084,5386.171886251659
15,9,19,0.11768387191033071,3.7413440705991556
15,9,20,0.004767853861473948,5590.6761824912255
15,9,21,0.16810795912184925,9.357502994765447
15,9,22,0.39047959857380143,1.039205378920323
15,9,23,0.2509924492487545,1.1676833275201552
15,9,24,0.24236636944919077,0.8650987738249537
15,9,25,0.3334978621576964,3006.9978873977934
15,9,26,0.31570675834817113,6.310164873666935
15,9,27,0.08113144827016368,11.185497919357132
15,9,28,0.30204022520479923,3.109635817224712
15,9,29,0.1086005379282808,37.267540694034835
15,10,0,0.20223275993045195,3.743812506967536
15,10,1,0.13796954324667174,3.429073527172926
15,10,2,0.1979262357042036,0.962250402377492
15,10,3,0.06969764116838716,1.444530020277849
15,10,4,0.029765236937390194,12.574699170542656
15,10,5,0.23811859641337993,7.007203809888295
15,10,6,0.09785703873203801,148.7405987533897
15,10,7,0.05957911488081311,1882375.1471683504
15,10,8,0.07401558910515657,108.39023832843485
15,10,9,0.19281342600400447,1643.5498094863515
15,10,10,0.02930516615522861,74.81686107765148
15,10,11,0.2891518633434379,960.7838693400245
15,10,12,0.09090060996527442,3.2209382701442837
15,10,13,0.2657148537251324,1.6423764046535443
15,10,14,0.17282010667428463,1.7740943283438415
15,10,15,0.1208988995070993,62.00539008231222
15,10,16,0.10967521141279372,62.712426536487214
15,10,17,0.09472544393685459,1.4846233159746913
15,10,18,0.4501204392229224,0.8310450203108222
15,10,19,0.15719807702828886,16.859062768451746
15,10,20,0.05379384427269872,10.060548882265433
15,10,21,0.1172170627870419,12.768918812689263
15,10,22,0.23683384050898462,527.8885423270112
15,10,23,0.08371081657306376,141.08518745222156
15,10,24,0.027252319118639918,19.4920944336594
15,10,25,0.07623664242553131,4.905340666036286
15,10,26,0.011494574303088137,3062.5479863867195
15,10,27,0.19748002316301214,1.2571525601336908
15,10,28,0.12507011039649332,2426.966590786119
15,10,29,0.0336609316810254,15.475218830560035
15,11,0,0.002765472006318554,415.2564368834014
15,11,1,0.10737395920352157,239.8477955149765
15,11,2,0.08524091573784769,21527.545011067392
15,11,3,0.05879073026612892,16401.080510126558
15,11,4,0.031193702789028947,41.2490519353878
15,11,5,0.017782343491470124,4443.262772590321
15,11,6,0.00794027610098233,24476.79155624775
